Date,BAB,MKT,SMB,HML,UMD
11/17/1997,-0.01,0.03,-0.01,0.00,0.00
11/18/1997,0.00,0.00,0.00,0.00,0.00
11/19/1997,0.00,-0.01,0.00,0.00,0.00
11/20/1997,0.00,0.01,-0.01,0.00,0.00
11/21/1997,0.00,0.01,-0.01,0.00,0.00
11/24/1997,0.01,-0.01,0.00,0.00,0.00
11/25/1997,0.00,-0.01,0.00,0.00,0.00
11/26/1997,0.00,0.00,0.00,0.00,0.01
11/27/1997,0.00,0.00,0.00,0.00,0.00
11/28/1997,0.00,0.00,0.00,0.00,0.00
12/01/1997,-0.01,0.01,-0.01,0.00,0.00
12/02/1997,0.00,0.00,0.00,0.00,0.01
12/03/1997,0.00,0.00,0.00,0.00,0.00
12/04/1997,0.00,0.00,0.00,0.00,0.00
12/05/1997,0.00,0.00,0.00,0.00,0.00
12/08/1997,0.00,0.00,0.00,0.00,0.01
12/09/1997,0.00,0.00,0.00,0.00,0.00
12/10/1997,0.01,-0.01,0.00,0.00,0.00
12/11/1997,0.01,-0.02,0.00,0.01,0.00
12/12/1997,0.00,0.00,0.00,0.00,0.00
12/15/1997,0.00,0.00,-0.01,0.00,0.00
12/16/1997,0.00,0.00,0.00,0.00,0.00
12/17/1997,0.00,0.01,0.00,0.00,0.00
12/18/1997,0.01,-0.01,0.00,0.00,0.00
12/19/1997,0.01,-0.01,0.01,0.00,0.00
12/22/1997,0.00,0.00,0.00,0.00,0.00
12/23/1997,0.01,0.00,0.00,0.00,0.00
12/24/1997,0.00,0.00,0.00,0.00,0.00
12/25/1997,0.00,0.00,0.00,0.00,0.00
12/26/1997,0.00,0.00,0.00,0.00,0.00
12/29/1997,-0.01,0.01,-0.01,0.00,0.01
12/30/1997,0.00,0.01,0.00,0.00,0.00
12/31/1997,0.00,0.00,0.01,0.00,0.00
01/01/1998,0.00,0.00,0.00,0.00,0.00
01/02/1998,-0.01,0.00,0.00,0.00,-0.01
01/05/1998,-0.01,0.00,0.00,0.00,0.00
01/06/1998,0.00,-0.01,0.00,0.00,0.00
01/07/1998,0.00,0.00,0.00,0.00,0.00
01/08/1998,0.00,-0.01,0.00,0.00,0.00
01/09/1998,0.01,-0.02,0.00,0.01,0.00
01/12/1998,0.00,-0.01,-0.01,0.00,0.00
01/13/1998,0.00,0.01,0.00,-0.01,0.00
01/14/1998,0.00,0.01,0.00,0.00,0.00
01/15/1998,0.00,0.00,0.00,0.00,0.00
01/16/1998,0.00,0.02,0.00,0.00,0.00
01/19/1998,0.00,0.01,0.00,0.00,0.00
01/20/1998,-0.01,0.01,0.00,-0.01,0.00
01/21/1998,-0.01,0.00,0.00,0.00,-0.01
01/22/1998,0.01,0.00,0.00,0.00,0.00
01/23/1998,0.00,0.00,0.00,0.00,-0.01
01/26/1998,-0.01,0.00,0.00,0.01,-0.01
01/27/1998,0.00,0.01,0.00,0.00,0.00
01/28/1998,-0.01,0.01,0.00,0.00,-0.01
01/29/1998,0.01,0.00,0.00,0.00,0.01
01/30/1998,0.01,0.00,0.00,0.00,0.01
02/02/1998,-0.01,0.02,-0.01,-0.01,0.00
02/03/1998,-0.01,0.01,0.00,0.00,0.00
02/04/1998,0.00,0.00,0.01,0.00,0.00
